#{"t_start": 1627960620.44219, "env_id": null}
r,l,t
-153.0,501,554.208361
-325.0,501,555.124403
-422.5,501,556.332741
-101.0,501,557.21895
-261.0,501,558.426719
-303.5,501,559.311574
-221.5,501,560.51995
-207.5,501,561.392874
-176.0,501,562.625993
-292.5,501,563.54074
-278.0,501,564.750508
-174.5,501,565.633337
-190.0,501,566.847972
-250.5,501,567.739621
-719.0,501,568.951101
-678.5,501,569.850647
-326.5,501,571.071801
-193.0,501,571.97042
-201.5,501,573.171227
-179.5,501,574.072626
-229.0,501,575.295105
-195.0,501,576.190644
-167.5,501,577.429047
-198.0,501,578.318786
-252.5,501,579.504927
-365.0,501,580.391089
-137.5,501,581.603348
-183.0,501,582.524174
-176.5,501,583.725669
-150.5,501,584.626773
-258.0,501,585.831342
-227.0,501,586.729117
-213.0,501,587.910923
-250.5,501,588.770292
-198.5,501,589.607833
-338.0,501,590.766185
-184.5,501,591.635972
-208.5,501,592.842923
-184.0,501,593.742792
-291.0,501,594.939108
-172.0,501,595.825741
-316.5,501,597.024422
-274.5,501,597.911532
-264.0,501,599.134208
-250.5,501,600.032633
-220.5,501,601.261661
-964.0,501,602.151871
-777.0,501,603.364283
-668.0,501,604.283503
-314.5,501,605.506873
-536.0,501,606.384336
-149.0,501,607.636934
-242.0,501,608.519059
-136.5,501,609.705035
-231.0,501,610.591796
-285.5,501,611.831127
-150.0,501,612.718595
-158.5,501,613.917198
-302.0,501,614.802208
-132.0,501,616.00979
-219.5,501,616.874183
-170.0,501,618.049012
-237.0,501,618.939068
-4.5,501,620.192006
-451.5,501,621.108132
-275.0,501,622.326146
-395.0,501,623.201087
-296.5,501,624.429898
-224.5,501,625.292157
-106.5,501,626.471926
-263.5,501,627.337304
-452.0,501,628.527552
-474.0,501,629.411548
-463.5,501,630.60849
-615.0,501,631.514655
-340.5,501,632.727427
-685.5,501,633.636806
-519.0,501,634.836343
-414.0,501,635.709049
-526.5,501,636.852317
-457.5,501,637.727376
-437.0,501,638.586694
-433.5,501,639.753291
-510.0,501,640.629563
-294.0,501,641.790621
-457.5,501,642.657197
4.5,501,643.867179
-363.5,501,644.760797
-222.0,501,645.949783
-336.5,501,646.804849
-35.5,501,647.970649
-94.5,501,648.866249
-310.5,501,650.082937
-283.5,501,650.977623
-125.5,501,652.187104
-100.5,501,653.08225
-91.5,501,654.294102
-279.0,501,655.222999
-282.0,501,656.429945
-222.5,501,657.339547
-255.5,501,658.580362
-267.0,501,659.505198
-270.5,501,660.707334
-172.0,501,661.608905
-163.5,501,662.820872
-198.0,501,663.669251
-332.5,501,664.875759
-170.5,501,665.791372
-339.5,501,667.007496
-299.0,501,667.91424
-330.5,501,669.134115
-249.5,501,670.03726
-243.5,501,671.254699
-234.0,501,672.141285
-252.5,501,673.352689
-165.0,501,674.245641
-151.0,501,675.443207
-292.5,501,676.318275
-118.0,501,677.508476
-193.0,501,678.382963
-64.0,501,679.55375
-131.0,501,680.470041
-105.5,501,681.705705
-188.5,501,682.633979
33.5,501,683.856522
-1.5,501,684.794255
-12.0,501,685.725932
-96.0,501,686.993092
-83.0,501,687.926022
-46.5,501,689.178926
-27.0,501,690.089155
-73.5,501,691.329383
7.5,501,692.249203
-122.0,501,693.483657
-36.0,501,694.397902
-34.0,501,695.656429
-266.0,501,696.55515
-27.5,501,697.789295
-0.5,501,698.672796
-101.0,501,699.923189
-114.5,501,700.824232
-158.5,501,702.064483
-128.0,501,702.987894
-34.0,501,704.221905
71.0,501,705.095099
3.5,501,706.292887
-240.0,501,707.194287
7.0,501,708.429387
-32.0,501,709.310336
-87.5,501,710.567004
-135.0,501,711.479503
-11.5,501,712.720402
-139.0,501,713.629669
-182.0,501,714.939614
-102.5,501,715.868261
-140.0,501,717.11282
-87.5,501,718.021327
-69.5,501,719.272102
-211.5,501,720.156452
4.0,501,721.389663
-104.5,501,722.304149
-92.0,501,723.539639
-102.0,501,724.410335
-49.0,501,725.591208
-204.5,501,726.492144
-69.0,501,727.727103
80.5,501,728.647525
-123.0,501,729.891435
-90.5,501,730.804731
-225.5,501,732.026875
141.5,501,732.93776
45.0,501,734.134222
94.5,501,735.056748
53.0,501,735.978185
-63.5,501,737.218431
-96.5,501,738.137905
-41.5,501,739.383848
-40.5,501,740.314273
-29.0,501,741.530632
-218.0,501,742.432557
-246.5,501,743.680475
-267.5,501,744.600645
-83.5,501,745.821534
-79.0,501,746.720443
-54.0,501,747.96767
-16.5,501,748.872815
-124.0,501,750.117894
-195.0,501,751.045706
-104.0,501,752.290716
-156.0,501,753.210305
-174.5,501,754.436606
23.5,501,755.371111
-139.5,501,756.61205
-237.5,501,757.541078
-95.0,501,758.780449
-177.5,501,759.680142
-232.0,501,760.884876
-240.5,501,761.783027
-43.5,501,762.970592
-66.0,501,763.84099
-51.0,501,765.03803
-116.5,501,765.950186
-61.5,501,767.179599
-138.5,501,768.072711
-113.0,501,769.626352
-118.5,501,770.834893
-94.5,501,772.357724
-126.0,501,773.568051
-152.0,501,775.104073
-69.0,501,776.315297
-210.5,501,777.845468
-150.5,501,779.062597
-130.5,501,780.608978
-139.5,501,781.880714
-126.0,501,783.479579
-99.0,501,784.706981
-180.5,501,786.300045
-167.0,501,787.529856
-189.5,501,789.051558
-159.5,501,790.299042
-36.0,501,791.555292
-159.5,501,793.132638
-158.0,501,794.362016
-147.5,501,795.94665
-188.0,501,797.181081
-52.0,501,798.79331
-20.0,501,800.074707
-203.0,501,801.643076
-159.5,501,802.854903
-113.0,501,804.406346
-98.0,501,805.600318
-64.0,501,807.180768
-90.5,501,808.175456
-51.0,501,809.341908
-11.5,501,810.232544
-56.5,501,811.459855
-31.0,501,812.33867
-66.0,501,813.555781
-79.5,501,814.45493
-221.0,501,815.673476
-126.0,501,816.567887
-219.5,501,817.82017
-254.5,501,818.701138
-100.0,501,819.87487
-133.5,501,820.736114
-127.0,501,821.934877
-188.0,501,822.822902
-64.0,501,824.050128
-83.0,501,824.947579
-212.0,501,826.182259
-152.0,501,827.068238
-230.5,501,828.287636
-116.5,501,829.167093
-152.5,501,830.364146
-173.5,501,831.211228
-75.0,501,832.351929
-166.0,501,833.196422
-128.0,501,834.399214
-237.5,501,835.321609
-154.0,501,836.579386
-145.5,501,837.473236
-118.0,501,838.6869
-158.5,501,839.575391
-136.0,501,840.802848
-84.0,501,841.703425
-148.5,501,842.90254
-27.0,501,843.781546
-142.5,501,844.66503
-112.0,501,845.879221
-138.5,501,846.805462
-158.5,501,848.029928
-134.5,501,848.923866
-158.0,501,850.143642
-217.0,501,851.019977
-201.0,501,852.242954
-181.0,501,853.143093
-235.0,501,854.308616
-174.0,501,855.157865
-228.0,501,856.360704
-124.0,501,857.267909
-165.0,501,858.48995
-98.5,501,859.390271
-223.0,501,860.593317
-147.0,501,861.481367
-170.0,501,862.677698
-214.0,501,863.5696
-268.0,501,864.772974
-223.0,501,865.656259
-291.0,501,866.870062
-181.0,501,867.77106
-228.0,501,869.015456
-249.0,501,869.913781
-235.0,501,871.130471
-249.0,501,872.035442
-249.0,501,873.242452
-193.0,501,874.114413
-191.5,501,875.296335
-149.0,501,876.155188
-231.0,501,877.299658
-212.5,501,878.168266
-207.0,501,879.309778
-223.0,501,880.165017
-300.0,501,881.380792
-231.0,501,882.28216
-306.0,501,883.501462
-210.0,501,884.395604
-223.0,501,885.568292
-196.0,501,886.46499
-264.0,501,887.689619
-201.0,501,888.597594
-223.0,501,889.806948
-188.0,501,890.703603
-274.0,501,891.577769
-188.0,501,892.792872
-249.0,501,893.673498
-115.5,501,894.923509
-235.0,501,895.829699
-180.0,501,897.079104
-34.5,501,897.972902
-199.5,501,899.187478
-313.5,501,900.082053
-98.5,501,901.338295
-253.5,501,902.258874
-40.0,501,903.454419
-118.0,501,904.357414
39.0,501,905.589493
-72.0,501,906.494392
-96.0,501,907.70827
56.0,501,908.619447
68.0,501,909.859982
58.0,501,910.776871
28.0,501,912.014482
-116.0,501,912.932681
32.0,501,914.182041
50.0,501,915.088224
80.0,501,916.340117
-11.0,501,917.253409
75.0,501,918.47018
-97.0,501,919.365572
-86.0,501,920.616027
55.5,501,921.51225
-10.0,501,922.745508
157.5,501,923.635612
-1.0,501,924.875587
98.0,501,925.770391
91.0,501,926.983613
104.0,501,927.847581
19.0,501,929.002801
-16.5,501,929.863404
79.0,501,931.034764
89.0,501,931.943372
18.0,501,933.186324
-12.0,501,934.102592
131.0,501,935.369783
58.0,501,936.291584
96.0,501,937.522483
-96.0,501,938.421887
171.0,501,939.616032
107.0,501,940.530318
179.0,501,941.429202
21.0,501,942.637831
133.0,501,943.55108
188.0,501,944.756682
133.0,501,945.747725
168.0,501,947.015967
113.0,501,947.927418
153.0,501,949.122566
118.0,501,950.002686
159.0,501,951.24572
130.0,501,952.180554
135.0,501,953.450333
100.0,501,954.378645
115.5,501,955.618338
103.0,501,956.520948
147.0,501,957.760402
91.0,501,958.667168
169.5,501,959.914649
-78.0,501,960.818569
145.0,501,962.039701
86.0,501,962.959384
-114.0,501,964.172945
117.0,501,965.124808
97.0,501,966.434333
76.5,501,967.351497
-19.5,501,968.588037
-52.5,501,969.501018
-13.5,501,970.69634
-32.0,501,971.597098
-38.0,501,972.78832
124.0,501,973.643437
19.0,501,974.785966
3.0,501,975.640138
34.0,501,976.855252
188.0,501,977.771336
67.5,501,979.012188
118.0,501,979.974955
199.5,501,981.279519
149.5,501,982.229547
96.0,501,983.463407
72.0,501,984.369111
187.0,501,985.604145
132.0,501,986.521576
115.0,501,987.725076
118.5,501,988.643521
125.5,501,989.878656
150.0,501,990.811987
-9.5,501,991.715373
189.0,501,992.981421
96.0,501,993.890856
90.0,501,995.133281
44.0,501,996.044803
207.0,501,997.27202
243.0,501,998.168095
146.0,501,999.395137
11.0,501,1000.28906
67.0,501,1001.50689
-2.0,501,1002.40335
69.0,501,1003.649904
67.0,501,1004.539124
-32.0,501,1005.774537
13.0,501,1006.672105
13.0,501,1007.907211
52.0,501,1008.792979
57.0,501,1010.005385
-23.0,501,1010.886813
2.0,501,1012.120399
124.0,501,1013.004367
55.0,501,1014.228442
23.0,501,1015.115505
74.0,501,1016.334894
28.0,501,1017.231735
141.0,501,1018.447801
31.0,501,1019.291384
94.0,501,1020.460171
40.0,501,1021.32544
79.0,501,1022.560642
-24.0,501,1023.457202
31.0,501,1024.722754
83.0,501,1025.633646
-8.0,501,1026.893916
31.0,501,1027.792434
100.0,501,1029.015862
111.0,501,1029.88779
23.0,501,1031.069646
66.0,501,1031.946486
15.0,501,1033.121418
36.0,501,1034.033947
129.0,501,1035.254483
80.0,501,1036.129503
123.0,501,1037.332628
72.0,501,1038.234663
140.0,501,1039.405459
120.0,501,1040.265018
69.0,501,1041.11274
-6.0,501,1042.316316
77.0,501,1043.226114
38.0,501,1044.422606
-3.0,501,1045.315851
111.0,501,1046.497286
33.0,501,1047.405552
45.0,501,1048.605243
69.0,501,1049.515849
15.0,501,1050.767627
69.0,501,1051.677858
69.0,501,1052.919741
27.0,501,1053.838128
9.0,501,1055.084931
57.0,501,1055.99621
150.0,501,1057.236417
86.0,501,1058.132166
27.0,501,1059.364753
-15.0,501,1060.328183
69.0,501,1061.595887
24.0,501,1062.532854
68.0,501,1063.803613
69.0,501,1064.729195
66.0,501,1065.990609
-9.0,501,1066.883235
150.0,501,1068.129272
69.0,501,1069.022032
69.0,501,1070.24928
170.0,501,1071.221399
87.0,501,1072.473738
-15.0,501,1073.407937
144.0,501,1074.685463
48.0,501,1075.602045
15.0,501,1076.859688
-15.0,501,1077.78775
-39.0,501,1079.032729
-51.0,501,1080.015906
-105.0,501,1081.279661
-300.0,501,1082.22269
-204.0,501,1083.468319
-141.0,501,1084.393364
-21.0,501,1085.641845
-165.0,501,1086.571776
-240.0,501,1087.806488
-468.0,501,1088.735583
-285.0,501,1089.644433
-231.0,501,1090.885457
-195.0,501,1091.805465
-486.0,501,1093.100111
-477.0,501,1094.025778
-237.0,501,1095.303558
-471.0,501,1096.252581
-513.0,501,1097.516915
-480.0,501,1098.435489
-462.0,501,1099.676732
-468.0,501,1100.598853
-501.0,501,1101.875378
-480.0,501,1102.824486
-483.0,501,1104.113591
-519.0,501,1105.050173
-513.0,501,1106.308715
-378.0,501,1107.228664
-498.0,501,1108.515898
-498.0,501,1109.478871
-513.0,501,1110.809788
-513.0,501,1111.758179
-455.0,501,1113.049311
-474.0,501,1114.010752
-468.0,501,1115.309728
-465.0,501,1116.262221
-513.0,501,1117.526522
-486.0,501,1118.448425
-468.0,501,1119.720086
-468.0,501,1120.69616
-450.0,501,1121.969092
-468.0,501,1122.905308
-468.0,501,1124.169513
-468.0,501,1125.070867
-423.0,501,1126.338384
-468.0,501,1127.284107
-468.0,501,1128.533952
-436.0,501,1129.488666
-426.0,501,1130.771412
-477.0,501,1131.706344
-453.0,501,1132.937114
-465.0,501,1133.8525
-477.0,501,1135.086757
-495.0,501,1136.019075
-441.0,501,1137.317112
-468.0,501,1138.233475
-471.0,501,1139.491882
-441.0,501,1140.445839
-356.0,501,1141.366364
-477.0,501,1142.613393
-438.0,501,1143.529239
-468.0,501,1144.799796
-441.0,501,1145.728213
-447.0,501,1146.963642
-468.0,501,1147.886585
-468.0,501,1149.138848
-468.0,501,1150.067961
-373.0,501,1151.310997
-438.0,501,1152.258259
-468.0,501,1153.511044
-468.0,501,1154.472241
-468.0,501,1155.727543
-365.0,501,1156.63455
-471.0,501,1157.919921
-477.0,501,1158.86665
-413.0,501,1160.151439
-389.0,501,1161.089589
-343.0,501,1162.389854
-365.0,501,1163.334825
-483.0,501,1164.613236
-456.0,501,1165.562563
-358.0,501,1166.843888
-356.0,501,1167.779187
-447.0,501,1169.06247
-413.0,501,1169.977981
-389.0,501,1171.283897
-398.0,501,1172.196581
-379.0,501,1173.459641
-360.0,501,1174.374642
-474.0,501,1175.672189
-471.0,501,1176.604751
-388.0,501,1177.869386
-456.0,501,1178.797412
-361.0,501,1180.072779
-327.5,501,1181.01362
-344.0,501,1182.358249
-293.5,501,1183.295442
-379.5,501,1184.577513
-85.0,501,1185.526192
-161.0,501,1186.810107
-198.5,501,1187.726053
28.0,501,1188.966783
-150.0,501,1189.902058
-120.0,501,1191.15344
133.5,501,1192.108406
159.0,501,1193.044617
208.0,501,1194.238445
54.0,501,1195.164005
47.0,501,1196.412616
194.0,501,1197.338505
50.0,501,1198.603354
150.0,501,1199.546691
108.0,501,1200.812254
147.0,501,1201.779718
77.0,501,1203.075593
-156.0,501,1203.993407
-300.0,501,1205.266036
136.0,501,1206.208622
71.0,501,1207.504959
-207.0,501,1208.449433
-73.0,501,1209.712085
62.0,501,1210.659354
-332.0,501,1211.875684
-253.0,501,1212.766607
-230.0,501,1214.028031
-299.0,501,1214.972741
-278.0,501,1216.242848
-324.0,501,1217.193038
-369.0,501,1218.481603
-390.0,501,1219.405299
-382.0,501,1220.663557
-391.5,501,1221.604396
-359.0,501,1222.830058
-371.0,501,1223.719256
-407.0,501,1224.953845
-408.0,501,1225.891683
-364.5,501,1227.143876
-381.0,501,1228.073364
-466.5,501,1229.326134
-469.0,501,1230.265709
-469.5,501,1231.50827
-477.0,501,1232.460105
-399.0,501,1233.723503
-396.0,501,1234.688708
-424.0,501,1235.951881
-394.5,501,1236.921493
-477.0,501,1238.214145
-454.5,501,1239.165625
-465.0,501,1240.453702
-387.0,501,1241.388381
-469.5,501,1242.651145
-420.5,501,1243.609217
-423.5,501,1244.560237
-431.0,501,1245.860917
